"student","subgroup","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20"
27,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
28,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0
29,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1
30,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
32,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
33,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
34,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
36,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
37,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
38,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0
39,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0
40,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
41,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
42,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1
44,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
45,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1
46,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
47,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
49,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
53,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1
54,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1
55,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1
56,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1
57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
58,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1
59,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1
61,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
62,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1
63,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
64,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1
65,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1
66,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
67,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1
68,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0
71,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
72,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
73,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1
74,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
75,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
76,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
77,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1
81,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
82,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
83,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
84,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
85,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
86,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
87,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1
88,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1
89,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
90,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
91,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
92,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1
93,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1
94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
95,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
96,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1
97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
99,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
100,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
101,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
102,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1
103,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
104,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1
105,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
106,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1
107,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
108,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1
109,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
113,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1
114,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
115,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1
116,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
117,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1
118,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1
119,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
120,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
121,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0
122,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
124,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1
125,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
126,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1
127,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
130,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
131,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1
132,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1
133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
135,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
136,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
137,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
140,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1
141,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1
142,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
143,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0
145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1
147,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
148,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
149,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0
151,2,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0
152,2,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1
153,2,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
154,2,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1
155,2,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
156,2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
157,2,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1
158,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
159,2,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1
160,2,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1
161,2,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1
162,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
164,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1
165,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
166,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
167,2,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1
168,2,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1
169,2,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1
170,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
172,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
173,2,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
174,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
175,2,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0
176,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
177,2,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1
178,2,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1
179,2,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1
180,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181,2,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
182,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
183,2,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1
184,2,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
185,2,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1
186,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
187,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
188,2,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1
189,2,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1
190,2,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
191,2,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1
192,2,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
194,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
195,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0
196,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,2,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1
198,2,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1
199,2,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1
200,2,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1
201,2,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1
202,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
203,2,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0
204,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
205,2,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
206,2,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1
207,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
208,2,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0
209,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1
210,2,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
211,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
212,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
214,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
215,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
216,2,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
217,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
218,2,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
219,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
220,2,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0
221,2,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0
222,2,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1
223,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
224,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1
225,2,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1
226,2,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
227,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
228,2,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0
229,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0
230,2,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1
231,2,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1
232,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
233,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
234,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
235,2,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
236,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
237,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
238,2,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1
239,2,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1
240,2,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1
241,2,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1
242,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
243,2,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0
244,2,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
245,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
246,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
247,2,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0
248,2,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
249,2,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1
250,2,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
251,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
252,2,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1
253,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
254,2,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
256,2,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0
257,2,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1
258,2,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1
259,2,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1
260,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
261,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
262,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1
263,2,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
264,2,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1
265,2,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1
266,2,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1
267,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0
268,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0
269,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
270,2,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1
271,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1
272,2,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0
273,2,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
274,2,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1
275,2,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1
276,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
277,2,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1
278,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
279,2,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0
280,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
281,2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1
282,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
283,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
284,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1
285,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
286,2,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1
287,2,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
288,2,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
289,2,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1
290,2,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1
291,2,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1
292,2,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1
293,2,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0
294,2,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1
295,2,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
296,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
297,2,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
298,2,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0
299,2,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1
300,2,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
301,2,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
302,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
303,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
304,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0
305,2,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1
306,2,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
307,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,2,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
309,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1
310,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
311,2,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
312,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
313,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
314,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
315,2,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1
